timestep,demand_MW,gas_cc_1,solar_1,load_shedding_MW
0,524.84,344.84,0.0,180.0
1,499.22,319.22,0.0,180.0
2,480.23,300.23,0.0,180.0
3,523.47,343.47,0.0,180.0
4,655.91,450.0,58.41,147.5
5,763.95,600.0,243.68,0.0
6,817.13,600.0,487.11,0.0
7,898.42,600.0,607.84,0.0
8,955.77,600.0,617.5,0.0
9,984.21,600.0,589.34,0.0
10,961.08,600.0,553.25,0.0
11,920.44,600.0,495.47,0.0
12,881.55,600.0,456.21,0.0
13,851.32,600.0,429.65,0.0
14,845.67,600.0,395.61,0.0
15,880.19,600.0,330.42,0.0
16,944.81,600.0,208.14,0.0
17,1008.55,600.0,81.78,0.0
18,979.66,600.0,13.04,0.0
19,905.12,600.0,0.0,0.0
20,813.91,600.0,0.0,0.0
21,706.64,600.0,0.0,0.0
22,594.93,594.93,0.0,0.0
23,530.16,530.16,0.0,0.0
